,Adview
252,2085.9692
253,2282.9146
254,1923.0211
255,1835.3228
256,1679.1409
257,1773.9856
258,2110.1208
259,2088.877
260,2312.575
261,1744.7589
262,2006.5328
263,2268.472
264,1915.6057
265,1645.7242
266,1862.2754
267,1048.6938
268,831.5087
269,1850.1229
270,1871.2528
271,1584.4174
272,2283.3315
273,1965.3752
274,1947.3854
275,2162.531
276,972.52875
277,1513.0728
278,2152.6428
279,2239.2532
280,2139.5217
281,1551.8635
282,1662.1399
283,1896.6484
284,2361.2546
285,1323.213
286,1140.8405
287,2405.2559
288,1630.5527
289,2326.9436
290,1726.6335
291,986.3816
292,1605.1868
293,2141.2031
294,1508.6174
295,1989.2932
296,2084.2185
297,1847.6676
298,1588.2379
299,2412.4502
300,1981.9382
301,1066.7986
302,1374.4087
303,1342.41
304,2068.1548
305,2200.0654
306,2504.8325
307,2399.67
308,1705.3442
309,1873.9247
310,1156.1244
311,1972.0966
312,2263.901
313,2164.2769
314,2203.098
315,2333.5435
316,1737.4425
317,2110.374
318,1795.0565
319,1801.9537
320,2144.3196
321,2110.0288
322,1748.4958
323,1523.7737
324,2384.8606
325,2257.8499
326,1737.8849
327,1606.1818
328,1489.6627
329,2176.8867
330,1227.1038
331,1592.4807
332,2108.2195
333,1581.9015
334,1510.881
335,1708.6334
336,2120.142
337,1976.152
338,2395.177
339,1292.1211
340,2039.7777
341,1248.5015
342,2018.2803
343,1581.6384
344,1509.2227
345,1489.0024
346,1155.9355
347,1707.4445
348,2129.0059
349,1898.6969
350,2362.9685
351,1579.7966
352,1816.0969
353,2151.947
354,2072.6577
355,2164.8457
356,1412.4147
357,1642.2213
358,1753.9131
359,2207.6555
360,2331.375
361,2378.9307
362,1787.9993
363,2202.3887
364,2270.5366
365,2237.2268
366,2159.0662
367,1829.3546
368,1261.2119
369,1835.0519
370,2115.6226
371,2181.8628
372,2181.1401
373,1810.1958
374,2057.7148
375,1444.7593
376,2082.9797
377,1918.1694
378,2230.1377
379,2217.5522
380,2522.4443
381,2158.0095
382,1991.8221
383,2251.3477
384,1691.4534
385,1967.16
386,2176.501
387,1966.701
388,2274.4219
389,1658.6185
390,1604.2375
391,2057.1028
392,2280.7551
393,1761.0001
394,2288.4492
395,1078.6952
396,1388.0537
397,1520.6805
398,1920.2935
399,1895.1982
400,2278.732
401,1107.6145
402,1675.0428
403,1399.0319
404,2049.0317
405,1630.2505
406,1440.2892
407,1941.3235
408,1886.661
409,2015.2363
410,1498.3228
411,1856.1315
412,2145.707
413,2218.4492
414,1737.4811
415,2136.0225
416,1514.8989
417,2019.2979
418,1384.743
419,1315.7253
420,2278.6897
421,1796.0824
422,1553.2727
423,2128.7498
424,1002.45056
425,1878.736
426,1061.8762
427,1354.4104
428,1779.5406
429,1581.2567
430,1846.897
431,1415.8417
432,2383.5222
433,1468.3348
434,1822.3265
435,1074.9299
436,2050.0913
437,2159.7524
438,1741.0736
439,2099.695
440,2387.3918
441,2073.7827
442,941.02484
443,1964.2211
444,2028.0662
445,2107.307
446,1787.3922
447,1854.8383
448,2202.7026
449,1478.1029
450,1826.7465
451,1820.0242
452,1400.2616
453,2187.52
454,1467.2838
455,1858.847
456,2338.889
457,1535.0562
458,1508.9801
459,2041.0559
460,1941.1555
461,2365.855
462,1680.267
463,2202.0674
464,1878.7822
465,1409.9213
466,1719.6306
467,1691.1517
468,2186.1497
469,1574.0594
470,1755.6135
471,2133.9766
472,2234.6174
473,1617.7451
474,1465.2739
475,2005.8696
476,2156.3176
477,931.70746
478,2323.9624
479,2004.8218
480,1762.0034
481,2298.1172
482,2325.3125
483,2090.236
484,2295.3596
485,1638.6458
486,2331.2434
487,2128.3027
488,1071.4751
489,2219.1333
490,1977.7249
491,1828.1016
492,2046.5211
493,2770.1023
494,2259.9526
495,1514.0471
496,1671.8627
497,2066.5557
498,2525.4048
499,1932.9923
500,1377.9017
501,2221.8044
502,1532.1193
503,1619.6444
504,1458.906
505,1476.2014
506,2109.8262
507,2171.085
508,2212.1592
509,1623.2697
510,2152.1733
511,2118.3862
512,1407.12
513,1684.8922
514,2086.3362
515,1959.7433
516,1662.1354
517,1749.7269
518,1306.2164
519,824.4428
520,2261.1074
521,1910.2484
522,2031.112
523,1770.7301
524,1739.3297
525,1218.6082
526,2262.952
527,681.373
528,1566.5408
529,1948.6578
530,1822.4631
531,1968.5955
532,615.0865
533,1647.865
534,2478.0264
535,1581.403
536,2216.0708
537,1969.8557
538,2018.7205
539,1822.3192
540,1901.2085
541,1499.9731
542,1294.1908
543,1833.1956
544,2376.1133
545,1787.6487
546,1641.9075
547,2309.2068
548,2183.6472
549,1932.8687
550,1683.057
551,1843.8777
552,2053.9834
553,1667.5311
554,1651.8627
555,2142.445
556,1920.8284
557,1447.7404
558,1769.7339
559,2063.0857
560,2333.9463
561,1938.5363
562,1932.8912
563,2256.8643
564,1922.0182
565,2150.2322
566,2235.746
567,2094.265
568,1258.5189
569,2179.3965
570,2268.9607
571,2235.8733
572,2486.202
573,2014.652
574,2536.5603
575,1741.2869
576,1876.6451
577,2223.1318
578,1952.831
579,2038.0806
580,2155.3103
581,1160.4243
582,2035.1445
583,2521.215
584,1940.0109
585,1662.1296
586,918.44653
587,1414.2957
588,2070.3755
589,1598.5983
590,1592.455
591,1966.8566
592,2097.5823
593,1372.1803
594,2113.2515
595,1951.3302
596,1950.1825
597,1752.178
598,921.1462
599,1233.4797
600,2134.5352
601,1424.8862
602,1174.5925
603,1792.9944
604,1725.1766
605,1456.7719
606,1585.6974
607,1607.9731
608,1989.818
609,2318.079
610,1151.5156
611,1510.8641
612,1773.4371
613,2135.0718
614,1811.9182
615,1208.6182
616,592.45026
617,2013.9055
618,2173.594
619,1984.8159
620,2011.8574
621,1685.115
622,1227.6594
623,1166.6174
624,2393.8477
625,2103.742
626,1667.2417
627,1996.2988
628,1934.4551
629,1898.2393
630,1793.3676
631,1774.591
632,2225.9258
633,2190.295
634,2055.398
635,2100.0652
636,861.2486
637,1721.3236
638,2023.7762
639,2472.0908
640,2125.4758
641,2126.8772
642,1909.3375
643,1591.2438
644,2147.4563
645,1958.6812
646,2491.7998
647,1630.7452
648,27.015812
649,1014.21765
650,2079.2178
651,1852.7617
652,2293.1655
653,1762.1154
654,1908.5345
655,2534.7136
656,1674.9476
657,1533.6339
658,1676.126
659,1910.2648
660,1791.2928
661,1462.7645
662,1490.5778
663,1251.1509
664,1485.2839
665,2150.3245
666,1655.1683
667,1571.9001
668,2347.8286
669,1945.1244
670,2141.6753
671,1024.7915
672,799.3141
673,508.01358
674,1640.7566
675,2041.1493
676,2188.8586
677,1794.494
678,2140.2024
679,1281.865
680,1521.3967
681,1974.4125
682,1569.2118
683,1922.7305
684,1288.731
685,1743.314
686,1766.649
687,2215.3945
688,1378.2483
689,2093.762
690,1919.5043
691,2412.66
692,1745.0397
693,2099.9126
694,2019.7402
695,1515.1599
696,1537.8276
697,888.59937
698,1310.0737
699,1561.4521
700,2048.675
701,1831.3373
702,1390.6095
703,1708.7357
704,1713.3392
705,1291.1573
706,2336.3523
707,1901.2292
708,1669.6528
709,1205.2059
710,1967.2587
711,2138.1333
712,2344.3472
713,1157.8263
714,2382.811
715,2514.1233
716,1825.1205
717,1596.7402
718,2267.774
719,2223.9878
720,2531.592
721,1945.1649
722,1882.1997
723,1651.0972
724,2039.9852
725,1498.2079
726,1406.0186
727,1967.756
728,1734.6877
729,1506.4209
730,1706.6686
731,2258.8013
732,2177.524
733,2082.9995
734,2044.15
735,1205.6843
736,1044.5491
737,2368.9895
738,2107.3962
739,2108.4558
740,1792.0258
741,1226.7206
742,913.1823
743,1884.2335
744,1565.9891
745,2054.127
746,1227.1753
747,2150.2893
748,1103.2861
749,1570.3436
750,1506.7034
751,2015.5476
752,1069.4937
753,1851.1287
754,1614.1458
755,1386.1566
756,2228.86
757,1990.3867
758,1929.682
759,2385.0366
760,1573.336
761,1411.6031
762,1986.1195
763,2165.9211
764,1811.8016
765,1936.1265
766,899.078
767,2046.4813
768,2366.7637
769,1883.9391
770,1369.1971
771,1985.8877
772,1987.336
773,1971.6716
774,1474.617
775,2098.0244
776,1095.9243
777,1526.3068
778,1056.584
779,2229.4263
780,1699.5487
781,2037.7261
782,2119.8877
783,1971.0962
784,1790.1759
785,1899.7213
786,1753.1726
787,1107.9353
788,1602.7731
789,1741.1694
790,2441.5164
791,1087.6453
792,1053.3579
793,2032.7274
794,1664.3712
795,2544.8386
796,1668.3055
797,1189.6641
798,1884.3234
799,1379.013
800,2176.428
801,1969.3187
802,1587.8875
803,1872.22
804,1614.6404
805,1719.5834
806,1599.4403
807,1271.5232
808,2152.8064
809,1993.0641
810,1566.8853
811,2083.2327
812,1749.9248
813,2134.8386
814,2102.3145
815,1779.1632
816,1930.8284
817,1702.1324
818,2012.5068
819,1995.1978
820,1938.7842
821,1170.232
822,1497.3842
823,2178.7502
824,2086.5793
825,649.5847
826,1924.5767
827,2187.0857
828,1849.7325
829,1333.5143
830,1973.3436
831,1494.0021
832,1882.487
833,1534.7462
834,1652.8573
835,1790.4148
836,1641.8245
837,1259.2924
838,1593.6045
839,1548.0745
840,1806.2732
841,2142.7305
842,2265.3555
843,1431.522
844,2239.5083
845,1944.969
846,1542.7904
847,2492.0698
848,655.21906
849,1699.9441
850,2021.8937
851,1307.1781
852,1837.4392
853,1509.9669
854,1820.1241
855,2614.6868
856,1447.1075
857,1661.8329
858,1975.0199
859,1887.8478
860,2268.6284
861,1841.7552
862,1698.1901
863,1138.678
864,1649.269
865,2384.801
866,2149.561
867,2079.2305
868,2085.2244
869,1560.8912
870,1462.5928
871,1830.4354
872,1964.8712
873,1595.5463
874,1544.7004
875,2249.9817
876,1896.6041
877,1557.7065
878,1895.5063
879,1357.716
880,2188.7578
881,1527.92
882,1320.4543
883,1922.7996
884,2051.9158
885,1912.5927
886,1865.7013
887,1368.5338
888,1521.1066
889,1082.5668
890,1694.0105
891,2299.419
892,1710.5233
893,1972.6824
894,1184.5002
895,1266.0801
896,1874.386
897,1583.5673
898,1491.5131
899,1202.4885
900,2478.0222
901,1992.5737
902,2276.226
903,1881.6653
904,2236.0752
905,1257.1603
906,1747.9734
907,1350.7383
908,1742.2611
909,1141.1676
910,2157.4138
911,1665.005
912,2108.8826
913,1515.0857
914,1457.5565
915,1803.4114
916,1999.6494
917,1427.6927
918,1214.7815
919,1929.646
920,1606.0028
921,1674.3634
922,1629.9006
923,2633.9995
924,2133.5603
925,1977.5591
926,2071.0176
927,2483.3806
928,2139.6414
929,1665.0183
930,2382.354
931,1387.6935
932,2046.0607
933,1997.0651
934,1561.7031
935,2168.7542
936,1360.0166
937,1829.2386
938,2232.4868
939,1470.9316
940,1461.0212
941,2076.231
942,2027.6512
943,2046.082
944,2511.3118
945,1265.8527
946,1846.6135
947,1338.689
948,1584.4341
949,1381.7994
950,1980.7997
951,1344.3535
952,1853.5398
953,1478.8912
954,2308.797
955,1295.2931
956,2046.592
957,2640.909
958,1884.5836
959,1205.6173
960,302.11682
961,1162.3462
962,1701.7745
963,2032.7081
964,1644.1997
965,1721.8896
966,2072.876
967,1368.1973
968,1087.1956
969,1793.4796
970,1930.6415
971,1604.2135
972,1635.4208
973,1626.7346
974,2590.7107
975,1728.134
976,1020.7909
977,1357.207
978,2051.3457
979,1385.5438
980,1547.9977
981,2547.6357
982,2153.402
983,2850.009
984,1683.0878
985,1796.9409
986,2126.1206
987,1381.322
988,2147.1592
989,1386.6224
990,2081.1658
991,2426.5134
992,1363.0082
993,896.9032
994,2211.5007
995,1433.4954
996,1704.1672
997,2224.5828
998,2114.5
999,2133.5508
1000,2090.7346
1001,2207.5996
1002,1562.5101
1003,1885.524
1004,2249.148
1005,1492.2826
1006,1435.1731
1007,878.9318
1008,1602.9664
1009,2074.2449
1010,2194.2095
1011,1560.1381
1012,1572.7802
1013,1777.3787
1014,2138.991
1015,1433.5151
1016,2151.5757
1017,1648.722
1018,1468.7142
1019,2083.197
1020,1337.2694
1021,2203.7131
1022,1482.1815
1023,1681.5565
1024,2155.9968
1025,1746.0834
1026,1144.9784
1027,1600.7931
1028,1438.1101
1029,2261.3386
1030,1285.3896
1031,2001.2552
1032,1300.3445
1033,2187.6555
1034,1349.6997
1035,1574.2634
1036,2297.7207
1037,2124.5327
1038,1631.057
1039,1472.2274
1040,1343.4333
1041,1599.1462
1042,1914.444
1043,2266.0378
1044,2168.5115
1045,1934.778
1046,2471.0212
1047,2400.8545
1048,1906.6515
1049,1458.5819
1050,1730.672
1051,1447.9474
1052,2005.1682
1053,801.46857
1054,1864.5685
1055,1023.47406
1056,2206.079
1057,1933.345
1058,2153.4397
1059,1690.9602
1060,1491.4861
1061,1637.5376
1062,1485.5603
1063,2148.1416
1064,2526.9272
1065,1483.9366
1066,2196.51
1067,1859.6696
1068,1315.0358
1069,1088.7886
1070,2191.6863
1071,2482.4834
1072,2120.4124
1073,1429.9037
1074,2151.8186
1075,1519.2717
1076,2157.6
1077,2078.6064
1078,2558.7256
1079,2105.1887
1080,1784.6453
1081,1421.885
1082,2078.915
1083,1669.4521
1084,1873.8575
1085,1051.7074
1086,1972.1476
1087,1909.6885
1088,1585.4778
1089,1856.5234
1090,1694.7764
1091,1181.6975
1092,1926.2618
1093,2184.1384
1094,1588.7523
1095,987.18976
1096,2154.8057
1097,1638.0431
1098,1398.035
1099,1798.6674
1100,2274.682
1101,2195.891
1102,1542.153
1103,2240.0005
1104,27.015812
1105,1347.822
1106,1938.2559
1107,2240.4412
1108,2490.2922
1109,1654.9843
1110,1577.7427
1111,1849.1602
1112,2024.481
1113,2144.8042
1114,1956.0946
1115,1070.4799
1116,2173.217
1117,1573.1956
1118,2036.4265
1119,2198.8215
1120,2073.4575
1121,1942.5719
1122,1562.337
1123,1558.5756
1124,2143.744
1125,1952.9888
1126,1695.2783
1127,2444.796
1128,1486.4897
1129,1677.896
1130,1559.1213
1131,2008.4187
1132,1421.8354
1133,2263.713
1134,1238.4631
1135,1986.9884
1136,1549.0879
1137,2131.6252
1138,1836.2335
1139,2382.3735
1140,1716.8031
1141,2224.196
1142,1033.3671
1143,1270.2021
1144,1433.7147
1145,1946.9948
1146,2092.4702
1147,1268.5043
1148,1493.6543
1149,2347.2021
1150,2446.2876
1151,1938.0197
1152,1650.2649
1153,2174.5742
1154,1839.2247
1155,2185.6526
1156,2398.2024
1157,2227.4817
1158,1190.8264
1159,1041.4355
1160,2274.0828
1161,2035.328
1162,1401.7966
1163,1893.7754
1164,1490.8934
1165,1480.4247
1166,2032.0377
1167,1910.0262
1168,2396.1997
1169,2290.8347
1170,2018.6678
1171,1367.5828
1172,1506.6176
1173,1704.8092
1174,1702.2471
1175,2110.5017
1176,2228.7695
1177,1648.2867
1178,1859.067
1179,1085.9761
1180,2028.8761
1181,2264.2573
1182,2122.0015
1183,2033.9972
1184,1735.8269
1185,1994.9656
1186,1150.225
1187,2542.6516
1188,1975.2642
1189,2443.101
1190,1629.2745
1191,1629.22
1192,1827.7008
1193,1859.4252
1194,2115.194
1195,1714.9662
1196,2182.025
1197,1073.6956
1198,2327.488
1199,2086.6157
1200,1751.835
1201,1535.4972
1202,2174.8835
1203,1640.5906
1204,2146.7312
1205,2185.7761
1206,2407.637
1207,2411.2825
1208,1987.2556
1209,1294.2867
1210,1763.3442
1211,2146.4001
1212,1523.071
1213,2063.5762
1214,1795.9696
1215,1849.8733
1216,1253.5433
1217,1761.1257
1218,1916.3541
1219,1988.727
1220,2007.062
1221,1275.2672
1222,1279.563
1223,1638.7412
1224,2114.8303
1225,2219.2322
1226,1699.6464
1227,1402.2444
1228,1746.5585
1229,2161.139
1230,1825.6715
1231,2210.5186
1232,1059.246
1233,2684.396
1234,1593.1332
1235,1097.0458
1236,2086.478
1237,1375.274
1238,2469.8242
1239,1844.5583
1240,1158.2318
1241,1984.5573
1242,2014.5625
1243,1808.6268
1244,2344.592
1245,2210.7356
1246,1866.4126
1247,1651.1996
1248,1511.221
1249,2246.5876
1250,1439.8062
1251,2162.731
1252,2001.6924
1253,2003.633
1254,1372.8623
1255,1501.84
1256,1374.5813
1257,1523.6213
1258,1885.9275
1259,2233.896
1260,1675.368
1261,1627.6218
1262,2042.2518
1263,2388.2356
1264,1620.4324
1265,1603.049
1266,1589.5946
1267,1829.7719
1268,2126.8325
1269,1890.7145
1270,2223.8071
1271,926.1662
1272,1932.1837
1273,1902.1414
1274,1424.8917
1275,1419.8274
1276,1689.7861
1277,1492.007
1278,2251.5444
1279,1632.8887
1280,2319.6577
1281,1258.2544
1282,2222.8027
1283,1515.4427
1284,1539.8103
1285,1547.8442
1286,2176.646
1287,2025.0068
1288,1952.2543
1289,1221.8855
1290,2238.2031
1291,1849.0854
1292,1901.931
1293,2034.6544
1294,1934.5225
1295,1851.941
1296,1729.7153
1297,2122.2993
1298,1880.3636
1299,2411.7483
1300,1387.5842
1301,1067.5319
1302,1935.9033
1303,1969.3844
1304,2033.7891
1305,2023.2985
1306,1817.527
1307,1098.9235
1308,1354.0676
1309,1792.7062
1310,1524.1631
1311,1775.4733
1312,1288.497
1313,2104.7083
1314,1774.954
1315,1852.7493
1316,1286.4248
1317,2126.9097
1318,1708.4988
1319,1845.1112
1320,1966.1471
1321,1311.8522
1322,2091.2317
1323,1564.4203
1324,2241.4944
1325,1894.9742
1326,2299.1526
1327,1616.4912
1328,2188.5793
1329,1796.3373
1330,1134.4042
1331,1621.2488
1332,1399.2539
1333,1069.571
1334,1935.3989
1335,2498.938
1336,2239.9717
1337,1655.3204
1338,1829.5475
1339,1948.2596
1340,1316.4227
1341,1424.7202
1342,2070.8958
1343,2507.985
1344,1691.9166
1345,1063.7218
1346,1570.2891
1347,2177.4043
1348,2126.6
1349,1930.7388
1350,1577.8868
1351,2092.032
1352,2176.712
1353,1477.0312
1354,1723.4606
1355,1996.695
1356,1264.234
1357,1256.8635
1358,2024.7943
1359,2155.9395
1360,2080.5007
1361,1591.5468
1362,510.19406
1363,1345.8694
1364,999.8195
1365,1209.7961
1366,1861.265
1367,1400.8204
1368,1875.8638
1369,1927.7473
1370,1927.8154
1371,1741.3431
1372,1661.0046
1373,1551.9564
1374,2169.933
1375,2040.9979
1376,1641.7241
1377,1217.0273
1378,1631.7955
1379,1715.2372
1380,1917.12
1381,1953.9692
1382,1524.3616
1383,1703.4828
1384,1078.6517
1385,2218.7754
1386,2131.4717
1387,1406.372
1388,1918.8021
1389,1690.6923
1390,1504.6388
1391,2094.8235
1392,2073.7336
1393,2169.9766
1394,1662.2045
1395,2540.0298
1396,1703.0745
1397,1279.1532
1398,1592.6436
1399,2057.2908
1400,1972.7837
1401,2027.9403
1402,1332.7089
1403,1584.19
1404,2127.379
1405,1714.4542
1406,1340.5944
1407,2392.5117
1408,1538.7197
1409,1863.4471
1410,2431.926
1411,1240.5177
1412,1809.7894
1413,1846.0712
1414,1495.4323
1415,1279.9257
1416,1906.2664
1417,1912.0042
1418,2108.0515
1419,1513.9858
1420,1745.342
1421,2224.2334
1422,2023.6305
1423,2214.2327
1424,1588.3812
1425,1829.377
1426,486.01675
1427,1993.7446
1428,2205.8574
1429,2577.0525
1430,1489.8354
1431,2136.321
1432,2131.3267
1433,1131.9042
1434,1363.5383
1435,1527.022
1436,2160.7415
1437,2055.0894
1438,1484.0302
1439,2175.509
1440,1611.2008
1441,2043.3966
1442,1654.5068
1443,1846.9998
1444,1450.5377
1445,2250.3286
1446,2109.1501
1447,1431.1631
1448,1654.0348
1449,1361.8629
1450,1161.7316
1451,1806.29
1452,2499.919
1453,2280.1113
1454,545.7093
1455,978.499
1456,2011.9608
1457,1311.2207
1458,1363.4174
1459,2276.798
1460,2074.695
1461,1569.7548
1462,2151.033
1463,1801.47
1464,1686.9231
1465,1791.8867
1466,2369.7678
1467,2104.0884
1468,1588.1454
1469,1854.7156
1470,1573.8698
1471,1709.4945
1472,2166.2373
1473,1578.1179
1474,1294.9164
1475,1482.3674
1476,1820.0115
1477,2599.286
1478,1971.6841
1479,2012.3009
1480,1907.8958
1481,1757.249
1482,1294.7229
1483,2110.5808
1484,1508.369
1485,987.9406
1486,1244.4683
1487,2144.6619
1488,647.57275
1489,2099.0618
1490,2098.878
1491,2180.2346
1492,1861.2634
1493,1862.4816
1494,1775.5406
1495,2159.0903
1496,1568.6975
1497,2592.4353
1498,1854.459
1499,2133.2568
1500,1261.261
1501,1628.0063
1502,2352.0757
1503,2030.2893
1504,1753.899
1505,1661.2241
1506,1242.5205
1507,2323.7617
1508,2145.757
1509,2213.3433
1510,2126.1309
1511,1492.4137
1512,2248.614
1513,2154.8452
1514,1699.3632
1515,1492.2549
1516,2156.2778
1517,1705.2113
1518,1239.9421
1519,1713.71
1520,2133.0146
1521,2185.7285
1522,1792.2031
1523,957.77985
1524,2235.2393
1525,2144.1519
1526,2145.364
1527,1703.9996
1528,2253.0208
1529,1085.4845
1530,1928.7288
1531,2047.4792
1532,1580.1318
1533,2110.7112
1534,1249.6211
1535,2090.1123
1536,2082.758
1537,2119.3877
1538,1779.4519
1539,1137.7505
1540,1910.5275
1541,1615.5763
1542,2155.9668
1543,2007.5881
1544,2173.4077
1545,2319.2964
1546,1142.4642
1547,2429.5298
1548,2219.4546
1549,1469.0354
1550,1456.1901
1551,1515.6222
1552,2343.961
1553,2174.5315
1554,2069.627
1555,2153.914
1556,1252.8286
1557,1165.122
1558,485.88934
1559,2269.2554
1560,2093.4705
1561,1792.1959
1562,1045.3618
1563,1918.6113
1564,1266.1572
1565,2281.3733
1566,1273.8357
1567,1870.6608
1568,2287.234
1569,1411.4219
1570,2245.5334
1571,1320.7599
1572,2050.6519
1573,1449.5988
1574,2007.9496
1575,383.12756
1576,2003.1666
1577,2049.2104
1578,2567.3438
1579,1723.836
1580,1918.8435
1581,1813.4069
1582,2562.7876
1583,1989.9885
1584,1710.7141
1585,1646.8345
1586,2078.6062
1587,761.433
1588,2273.1333
1589,1951.6089
1590,2038.7264
1591,1864.1564
1592,2090.435
1593,1456.105
1594,2417.2114
1595,1730.5612
1596,1042.9705
1597,1558.075
1598,1713.9697
1599,1762.3059
1600,1400.0696
1601,1575.2793
1602,2146.1104
1603,1501.5186
1604,1912.3535
1605,1373.1191
1606,1988.7249
1607,1405.3275
1608,1917.6737
1609,2110.8127
1610,1660.0369
1611,2173.035
1612,2393.9114
1613,1646.6796
1614,1420.8068
1615,1654.3425
1616,1137.8066
1617,1243.6029
1618,1604.5896
1619,1519.0463
1620,1152.6287
1621,1602.2944
1622,1192.9799
1623,1170.8436
1624,2491.5173
1625,1078.7915
1626,2162.5964
1627,1782.2306
1628,2351.7517
1629,2251.659
1630,1815.9955
1631,1782.5464
1632,1565.8516
1633,1582.9158
1634,1714.3252
1635,1803.1733
1636,1847.6351
1637,2136.859
1638,1983.7875
1639,1626.7179
1640,1691.2498
1641,1547.1735
1642,2141.9548
1643,1924.2728
1644,2347.1414
1645,2115.281
1646,2003.6542
1647,2352.9224
1648,1880.0577
1649,1225.059
1650,1648.8813
1651,1055.2457
1652,1558.4862
1653,1261.0376
1654,1693.5265
1655,2184.8118
1656,2160.3394
1657,1585.3835
1658,2127.2446
1659,1525.6573
1660,1325.4026
1661,1709.6456
1662,2103.736
1663,2115.8628
1664,1879.7882
1665,1767.9293
1666,1947.425
1667,1367.5509
1668,1362.6991
1669,2169.929
1670,2051.6938
1671,1260.9827
1672,2312.4744
1673,2065.1616
1674,2002.3589
1675,1172.3657
1676,1518.529
1677,2080.0193
1678,1597.5269
1679,2004.5934
1680,2452.978
1681,1821.8569
1682,1317.929
1683,1171.2095
1684,971.215
1685,2428.1184
1686,2241.8718
1687,2097.7495
1688,2390.219
1689,2026.0516
1690,1370.9465
1691,2271.8108
1692,1241.3126
1693,2305.1274
1694,1591.9673
1695,2117.7512
1696,1579.443
1697,1572.7988
1698,2073.0818
1699,1583.7224
1700,1655.629
